,Unnamed: 0,GR,NPHI,RHOB,DEPT,RM,RT,FACIES,idx,zone,color,grmax,grmin,rhoma,rhofl,phish,VSHALE,PHID,PHIT,PHIE
219,219,115.110425,,,219,,,,219,0,black,100,20,2.65,1.1,0.4,1.1888803125,,,
220,220,118.6366125,,,220,,,,220,0,black,100,20,2.65,1.1,0.4,1.23295765625,,,
221,221,113.5140875,,,221,,,,221,0,black,100,20,2.65,1.1,0.4,1.1689260937500001,,,
222,222,124.4446,,,222,,,,222,0,black,100,20,2.65,1.1,0.4,1.3055575,,,
223,223,113.0733125,,,223,,,,223,0,black,100,20,2.65,1.1,0.4,1.16341640625,,,
224,224,79.53383,,,224,,,,224,0,black,100,20,2.65,1.1,0.4,0.744172875,,,
225,225,82.77142,,,225,,,,225,0,black,100,20,2.65,1.1,0.4,0.78464275,,,
226,226,93.12488625,,,226,,,,226,0,black,100,20,2.65,1.1,0.4,0.914061078125,,,
227,227,96.35200749999998,,,227,,,,227,0,black,100,20,2.65,1.1,0.4,0.9544000937499998,,,
228,228,97.567155,,,228,,,,228,0,black,100,20,2.65,1.1,0.4,0.9695894375,,,
229,229,98.7348625,,,229,,,,229,0,black,100,20,2.65,1.1,0.4,0.9841857812500001,,,
230,230,105.5894625,,,230,,,,230,0,black,100,20,2.65,1.1,0.4,1.06986828125,,,
231,231,103.0946,,,231,,,,231,0,black,100,20,2.65,1.1,0.4,1.0386825,,,
232,232,95.4522025,,,232,,,,232,0,black,100,20,2.65,1.1,0.4,0.94315253125,,,
233,233,104.4703125,,,233,,,,233,0,black,100,20,2.65,1.1,0.4,1.05587890625,,,
234,234,110.04705,,,234,,,,234,0,black,100,20,2.65,1.1,0.4,1.125588125,,,
235,235,110.0451,,,235,,,,235,0,black,100,20,2.65,1.1,0.4,1.12556375,,,
236,236,109.98765,,,236,,,,236,0,black,100,20,2.65,1.1,0.4,1.124845625,,,
237,237,104.6983875,,,237,,,,237,0,black,100,20,2.65,1.1,0.4,1.05872984375,,,
238,238,108.669,,,238,,,,238,0,black,100,20,2.65,1.1,0.4,1.1083625,,,
239,239,108.74165,,,239,,,,239,0,black,100,20,2.65,1.1,0.4,1.1092706250000002,,,
